Permission Number,Name,Activity Type Description,Document URL,Site Address,Site Postcode,Site Grid Reference,Local Authority,Permission Date
EPR/BP3506LE,HAPPY DAYS FARMING COMPANY LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ln2-1qa-happy-days-farming-company-limited-environmental-permit-issued-eprbp3506lea001,"Jesmond Farm, Jesmond Farm EPR/BP3506LE, Kingerby, Market Rasen, LN8 3PU",LN8 3PU,TF0393092230,West Lindsey,2022-06-14
EPR/DP3240QK,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Aston, Wing & Stewkley Poultry Farms, Aston, Wing & Stewkley Poultry Farm, Stewkley Road, Wing, Nr Leighton Buzzard, Buckinghamshire, LU7 0LD",LU7 0LD,SP8615023920,Buckinghamshire,2022-05-23
EPR/EP3132JL,OLLERTON PARK FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Ollerton Park Farm, Ollerton Park Farm - EPR/EP3132JL, Ollerton, Market Drayton, Shropshire, TF9 2DP",TF9 2DP,SJ6430025300,Shropshire,2022-05-11
EPR/WP3807LD,HILLOCK FARM PULLETS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Hillock Farm, T & J Wignall Ltd, Hillock Farm - EPR/WP3807LD, Knoll Lane, Little Hoole, Lancashire, PR4 4TB",PR4 4TB,SD4836023610,South Ribble,2021-10-26
EPR/XP3505MC,THORNBY FARM HOLDING LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Thornby Villa, Thornby Farm Poultry Unit, Thornby, Cumbria, CA7 0HN",CA7 0HN,NY2857052130,,2021-10-26
EPR/TP3109BY,COURTEENHALL FARM PARTNERSHIP,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Courteenhall Poultry Farm, Courteenhall Poultry Farm - EPR/TP3109BY, The Estate Office, Courteenhall, Northamptonshire, NN7 2QD",NN7 2QD,SP7758052890,West Northamptonshire,2021-08-09
EPR/KP3203MZ,ST. LAWRENCE HALL FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Wenhaston Farm, Wenhaston Farm Broiler Unit EPR/YP3030JW, Bartholomews Lane, Blackheath, Wenhaston, IP19 9DF",IP19 9DF,TM4153075070,East Suffolk,2021-06-17
EPR/WP3909ST,SALLY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Broomfield Farm, Broomfield Farm EPR/WP3909ST, Helperby, York, North Yorkshire, YO61 2SA",YO61 2SA,SE4170069920,North Yorkshire,2021-06-07
EPR/ZP3101LY,FARMPOINT LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Little Willow Farm, Little Willow Farm EPR/ZP3101LY, Little Hereford, Shropshire, SY8 4LQ",SY8 4LQ,SO5435069800,"Herefordshire, County of",2021-06-01
EPR/TP3406LG,SALLY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Sally Farm, Sally Farm EPR/YP3339JW, Helperby, York, North Yorkshire, YO61 2SA",YO61 2SA,SE4145069900,North Yorkshire,2021-04-14
EPR/JP3009BT,FOXTON FARMERS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/hu11-4jh-foxton-farmers-limited-environmental-permit-issued-eprjp3009bta001,"Carrick's Farm, Carrick's Farm - EPR/JP3009BT, Coniston, Hull, HU11 4JH",HU11 4JH,TA1616035910,East Riding of Yorkshire,2021-03-24
EPR/LP3302SD,JCC FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ng32-3rn-jcc-farms-limited-environmental-permit-issued-eprlp3302sda001,"Ermin Street Farm, Ermine Street Poultry Site, Ermine Street Poultry Site EPR/LP3302SD, Ancaster, Grantham, Lincolnshire, NG32 3RN",NG32 3RN,SK9935047670,North Kesteven,2021-03-01
EPR/WP3807SL,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Forest Lodge Farm, 1, Middleton Stoney Farm EPR/WP3807SL, Middleton Park, Middleton Stoney, Oxfordshire, OX25 4AJ",OX25 4AJ,SP5276022030,Cherwell,2021-02-23
EPR/AP3507SQ,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hp18-0ua-brackley-farms-limited-environmental-permit-issued-eprap3507sqv002,"Edgcott Poultry Farm, Edgcott Poultry Farm EPR/AP3507SQ, Marsh Gibbon Road, Edgcott, Buckinghamshire, HP18 0UA",HP18 0UA,SP6711022110,Buckinghamshire,2021-02-23
EPR/VP3404LU,SHEDDEN FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/yo61-1qz-shedden-farms-limited-environmental-permit-issued-eprvp3404lua001,"Fordington Lodge, Shedden Farms Limited, York Road, Tollerton, York, YO61 1QZ",YO61 1QZ,SE5381063570,North Yorkshire,2021-02-17
EPR/TP3004SS,NORTH FARM LIVESTOCK LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/nr24-2au-north-farm-livestock-limited-environmental-permit-issued-eprtp3004ssa001,"Locks Farm, Locks Farm EPR/TP3004SS/, Edgefield, Norwich, Norfolk, NR24 2AY",NR24 2AY,TG1044032360,North Norfolk,2021-02-15
EPR/YP3507SQ,ASH FARMING LLP,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Greenmeadows Farm, Greenmeadows Poultry Farm EPR/TP3337MF, Station Road, Grateley, Hampshire, SP11 8LG",SP11 8LG,SU2692041550,Test Valley,2021-01-26
EPR/KP3803LP,POTTERS FARM PRODUCTION LLP,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Hill House Farm, Hill House Farm - EPR/KP3803LP/A001, Middleton on Levy, Larm, North Yorkshire, TS15 0JY",TS15 0JY,NZ4754009790,North Yorkshire,2021-01-13
EPR/VP3107SC,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Crowfield Poultry Farm, Crowfield Poultry Farm EPR/VP3107SC, Welsh Lane, Nr Brackley, Northants, NN13 5RA",NN13 5RA,SP6065041960,West Northamptonshire,2020-12-31
EPR/WP3607SQ,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Pimlico Farm, Pimlico Poultry Farm - EPR/WP3607SQ, Welsh Lane, Crowfield, Near Brackley, Northamptonshire, NN13 5TW",NN13 5TW,SP6161041160,West Northamptonshire,2020-12-18
EPR/AP3307SR,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Evenley Farm, Evenley Poultry Farm EPR/AP3307SR, Evenley, Northamptonshire, NN13 5SB",NN13 5SB,SP5815053180,West Northamptonshire,2020-12-18
EPR/MP3707BJ,BRACKLEY FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Silverstone & Abthorpe Farms, Silverstone Poultry Farm and Abthorpe Poultry Farm Poultry Unit - EPR/MP3707BJ, Abthorpe Road, Silverstone, Nr Towcester, Northhamptonshire, NN12 8TW",NN12 8TW,SP6580044590,West Northamptonshire,2020-12-18
EPR/AP3607SB,BRACKLEY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Helmdon Farm, Helmdon Poultry Farm - EPR/AP3607SB, Welsh Lane, Nr Brackley, Northamptonshire, NN13 5QD",NN13 5QD,SP5780042500,West Northamptonshire,2020-12-18
EPR/BP3709LB,BELMONT FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Wheaton Aston Farm, Wheaton Aston Farm Pig Unit - EPR/BP3709LB, Little Onn, Church Eaton, Stafford, Staffordshire, ST20 0AU",ST20 0AU,SJ8380014790,Stafford,2020-12-03
EPR/UP3603LX,Low Farm (Lincoln) Ltd,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Thoresby Bridge Farm, Thoresby Bridge Farm, Thoresby Bridge, North Cotes, Grimsby, Lincolnshire, DN36 5TY",DN36 5TY,TF3357099800,East Lindsey,2020-09-30
EPR/XP3203LB,Low Farm (Lincoln) Ltd,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Low Farm, Low Farm Poultry Unit - EPR/XP3203LB, Bridge Lane, Fulstow, LOUTH, Lincolnshire, LN11 0XP",LN11 0XP,TF3419098110,East Lindsey,2020-09-30
EPR/NP3408PT,BECK HILL FARM LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/dl10-6ew-beck-hill-farm-limited-environmental-permit-issued-eprnp3408pta001,"Beck Hill Farm, Beck Hill Farm  EPR/NP3408PT, Beck Hill, Scruton, Richmond, Yorkshire, DL10 6EW",DL10 6EW,NZ2662001780,North Yorkshire,2020-09-29
EPR/HP3003LU,COURT FARM CHICKENS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Yew Lane Farm, Yew Lane A and B Poultry Units EPR/HP3003LU, Llandinabo, Herefordshire, HR2 8JD",HR2 8JD,SO5121028800,"Herefordshire, County of",2020-09-28
EPR/HP3130QT,B & S FARMING LIMITED,Intensive Farming; >750 Sows -  6.9 A(1) a) (iii),,"Redwood Farm, Redwood Farm, Caxton Road, Great Gransden, Sandy, Bedfordshire, SG19 3BQ",SG19 3BQ,TL2939057600,Huntingdonshire,2020-09-26
EPR/EP3509SG,MASON FARMING,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"East End Farm, Butterwick Whins, Butterwick, Weaverthorpe, Malton, North Yorkshire, YO17 8HF",YO17 8HF,TA0030077020,Leeds,2020-09-07
EPR/KP3144QY,WOODWARD FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Nythe Poultry Farm, Nythe Poultry Farm, Helland, North Curry, Somerset, TA3 6DS",TA3 6DS,ST3260024140,Somerset,2020-08-05
EPR/HP3031JS,CHEQUERHOUSE FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/dn22-8ja-chequerhouse-farm-limited-environmental-permit-issued-eprhp3031jsa001,"Chequerhouse Farm, Chequerhouse Farm, Thievesdale Lane, Ranby, Retford, DN22 8JA",DN22 8JA,SK6413081690,Bassetlaw,2020-04-30
EPR/NP3009BZ,SUNRISE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/le12-5sf-sunrise-poultry-farms-limited-environmental-permit-issued-eprnp3009bza001,"Hoton Farm, Hoton Farm - EPR/NP3009BZ, Loughborough Road, Hoton, Leicestershire, LE12 5SF",LE12 5SF,SK5690023360,Charnwood,2020-04-22
EPR/GP3502BS,WIX FARMS POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Kellys Farm, Wix Farms Poultry - EPR/GP3502BS, Clacton Road, Horsley Cross, Essex, CO11 2NZ",CO11 2NZ,TM1246027000,Tendring,2020-04-20
EPR/CP3923PP,WHITE ROSE FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Holygate Farm, Holygate Farm Pig Unit - EPR/CP3923PP, Holygate Road, Stapleford, Melton Mowbray, LE14 2SG",LE14 2SG,SK8215016700,Melton,2020-02-13
EPR/CP3203BA,SUNRISE POULTRY FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/le14-3ja-sunrise-poultry-farms-limited-environmental-permit-issued-eprcp3203baa001,"Kettleby Farm, Kettleby Farm  EPR/CP3203BA, Nottingham Road, Ab Kettleby, Melton, Leicestershire, LE14 3JA",LE14 3JA,SK7286022170,Melton,2020-02-11
EPR/LP3705PG,FOSTER FARMS LIMITED,"Intensive Farming; >750 Sows -  6.9 A(1) a) (iii)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Grange Farm, Grange Farm Pig Unit - EPR/LP3705PG, Brigham, Driffield, Driffield, East Yorkshire, YO25 8JP",YO25 8JP,TA0854054050,East Riding of Yorkshire,2019-08-21
EPR/XP3838QG,LEVERTON FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Ingleby Hall Farm, Ingleby Hall Farm Poultry Unit, Ingleby, Lincoln, Lincolnshire, LN1 2PQ",LN1 2PQ,SK8860077880,West Lindsey,2019-07-31
EPR/ZP3034QT,CHURCH FARM EGGS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/st19-5pt-church-farm-eggs-limited-environmental-permit-issued,"Gailey Lea Farm, Gailey Lea Farm - EPR/ZP3034QT, Gailey Lea Road, Penkridge, Staffordshire, ST19 5PT",ST19 5PT,SJ9316010620,South Staffordshire,2019-04-03
EPR/JP3635JP,RATTLEROW FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ip21-5nf-rattlerow-farms-limited-environmental-permit-issued,"Bullocks Hill Farm North, Bullocks Hill Farm - EPR/JP3635JP, Pixey Green, Wingfield, Diss, Suffolk, IP21 5NF",IP21 5NF,TM2352075300,Mid Suffolk,2019-03-08
EPR/FP3837QF,MOOREFIELD FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/b48-7hd-moorefield-farm-limited-environmental-permit-issued-eprfp3837qfv002,"Moorfield Farm, Moorfield Poultry Farm EPR/HP3638TN, Lilley Green Road, Alvechurch, West Midlands, B48 7HD",B48 7HD,SP0680072800,Bromsgrove,2019-03-05
EPR/FP3833JD,C R DOWN FARMING LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ex5-3bq-c-r-down-farming-limited-environmental-permit-issued,"Burrowton Farm, Burrowton Farm Pig Unit - EPR/FP3833JD, Lower Burrowton, Broadclyst, Exeter, Devon, EX5 3BQ",EX5 3BQ,SY0037096880,East Devon,2019-02-28
EPR/TP3832QE,WAYLAND FARMS LIMITED,Directly Associated Activity (Included)|Intensive Farming; >750 Sows -  6.9 A(1) a) (iii),,"Glebe Farm, Glebe Farm - EPR/TP3832QE, Brandon Road, Methwold, Thetford, Norfolk, IP26 4RJ",IP26 4RJ,TL7412093690,King's Lynn and West Norfolk,2019-02-26
EPR/XP3632QE,WAYLAND FARMS LIMITED,"Directly Associated Activity (Included)|Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ip26-4rj-wayland-farms-limited-environmental-permit-application-advertisement-eprxp3632qev003,"Airfield Farms, Woodlark Farming Ltd, Methwold Farm Pig Unit - EPR/XP3632QE, Methwold Group, Brandon Road, Methwold, Norfolk, IP26 4RJ",IP26 4RJ,TL7290892944,King's Lynn and West Norfolk,2019-02-26
EPR/EP3632JZ,MANOR FARM POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/cv36-5az-manor-farm-poultry-limited-environmental-permit-issued,"Lunnons Farm, Lunnons Farm - EPR/EP3632JZ, Barcheston, Shipston-on-Stour, Warwickshire, CV36 5AY",CV36 5AY,SP2738040040,Stratford-on-Avon,2019-01-22
EPR/KP3531QJ,ASH FARMING LLP,"Directly Associated Activity (Included)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Bolham House Farm, Bolham House Farm Poultry Unit, Bolham House Farm Poultry Unit - EPR/KP3531QJ, Hemyock, Cullompton, Devon, EX15 3PX",EX15 3PX,ST1509012770,Mid Devon,2019-01-10
EPR/XP3332QT,WHITE ROSE FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Branston Pig Unit, Branston Pig Unit EPR/XP3332QT, Mere Road, Branston, LINCOLN, Lincolnshire, LN4 2JD",LN4 2JD,TF0208066100,North Kesteven,2018-12-11
EPR/MP3133QD,HOLMEFIELD FARM SERVICES LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ln7-6pn-holmefield-farm-services-limited-environmental-permit-issued,"Brandy Wharf Piggery, Brandy Wharf Piggery - EPR/MP3133QD, Waddingham Road, South Kelsey, South Kelsey, Lincolnshire, LN7 6PN",LN7 6PN,TF0218097620,West Lindsey,2018-08-06
EPR/WP3530DR,W G FARMS LIMITED,"Waste Incineration; Non Hazardous Waste Not In An Incineration Or Co Incineration Plant And > 50Kg/Hr <1T/Hr -  5.1 B A)|Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/la2-0er-wg-farms-ltd-environmental-permit-partial-surrender-issued,"Moss House Farm, Moss House Farm Poultry Unit, Gulf Lane, Cockerham, Lancaster, Lancashire, LA2 0ER",LA2 0ER,SD4371048730,Lancaster,2018-06-19
EPR/KP3537JL,FROGMARY FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Frogmary Green Farm, Frogmary Green Farm EPR/KP3537JL, West Street, South Petherton, Somerset, TA13 5DJ",TA13 5DJ,ST4216016010,Somerset,2018-06-15
EPR/KP3939YX,RANGE FARM LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ws11-1sg-range-farm-limited-environmental-permit-issued,"Range Farm, Range Farm - EPR/KP3939YX, Watling Street, Cannock, Staffordshire, WS11 1SG",WS11 1SG,SJ9577009450,South Staffordshire,2018-05-22
EPR/NP3231JC,CROCKWAY FARMS LIMITED,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",https://www.gov.uk/government/publications/ln8-2ap-crockway-farms-limited-environmental-permit-and-permit-partial-surrender-issued-eprnp3231jcv004-and-eprnp3231jcs005,"Caenby Cliff Farm, Caenby Cliff Farm - Danby Pig Unit EPR/NP3231JC, Caenby Corner, Market Rasen, Lincolnshire, LN8 2AP",LN8 2AP,SK9808089170,West Lindsey,2018-04-17
EPR/RP3331JA,MANOR FARM POULTRY LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",,"Manor Farm, Manor Fam EPR/RP3331JA, Crimscote, Stratford-Upon-Avon, Warwickshire, CV37 8UE",CV37 8UE,SP2316047310,Stratford-on-Avon,2018-04-11
EPR/HP3531YL,HORSLEY BROOK FARMS LTD,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/ws14-9pt-horsley-brook-farms-ltd-environmental-permit-issued,"Horsley Brook Farm, Tamworth Road Poultry Farm - EPR/HP3531YL, Tamworth Road, Lichfield, Staffordshire, WS14 9PT",WS14 9PT,SK1459006220,Lichfield,2018-04-03
EPR/TP3337NC,COLIN PHILLIPS (FARMS) LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/wr15-8px-colin-phillips-farms-limited-environmental-permit-issued,"Sallings Farm, Sallings Farm EPR/TP3337NC, Bockleton Road, Tenbury Wells, Bockleton, Worcestershire, WR15 8PX",WR15 8PX,SO5974061350,Malvern Hills,2018-03-26
EPR/YP3739JB,MB Farming LTD,"Intensive Farming; > 2,000 Pigs (Production Pigs) -  6.9 A(1) a) (ii)",,"Redisham Hall Farm Pig Unit, Redisham Hall Farm Pig Unit - EPR/YP3739JB, School Road, Ringsfield, Beccles, Suffolk, NR34 8NY",NR34 8NY,TM3967086170,East Suffolk,2018-01-10
EPR/MP3436DR,A R CRAVEN FARMS LIMITED,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/pe22-9el-and-pe22-8dw-a-r-craven-farms-limited-environmental-permit-issued,"Craven North and South Poultry Unit, Craven North and South Poultry Unit - EPR/MP3436DR, Main Road and Midville Lane, Stickford, Boston, Lincolnshire, PE22 8EL",PE22 8EL,TF3546057710,East Lindsey,2017-10-17
EPR/MP3436YV,POTTERS FARM PRODUCTION LLP,"Intensive Farming; > 40,000 Poultry -  6.9 A(1) a) (i)",https://www.gov.uk/government/publications/hg4-3lt-potters-farm-production-llp-environmental-permit-issued,"The Poultry Farm, The Poultry Farm - EPR/MP3436YV, Pottery Lane, Littlethorpe, Ripon, HG4 3LT",HG4 3LT,SE3291067590,North Yorkshire,2017-10-05
